,age,income,friends,attempt_suicide,Virgin,Depressed,Social_Fear,gender,sexuallity,bodyweight
321,30,24999.5,5.0,0,0,0,0,1,1,3
322,38,62499.5,7.0,1,0,1,1,1,1,3
323,22,24999.5,10.0,0,1,1,1,1,1,3
324,20,62499.5,2.0,0,1,0,1,2,1,1
325,24,24999.5,1.0,0,1,1,1,1,1,1
326,31,0,30.0,0,1,0,0,1,1,1
327,20,5000.5,20.0,0,1,1,1,1,1,1
328,21,0,2.0,0,1,0,1,1,1,3
329,23,5000.5,3.0,0,1,1,1,1,1,3
330,20,0,5.0,0,1,0,1,1,1,1
331,27,34999.5,3.0,0,1,0,0,2,1,1
332,30,0,0.0,0,1,0,0,1,1,4
333,23,0,4.0,1,0,1,0,1,1,3
334,25,5000.5,6.0,0,1,1,1,1,1,3
335,22,14999.5,0.2,0,1,0,0,2,1,1
336,20,0,6.0,0,1,1,1,1,1,1
337,24,34999.5,10.0,0,0,1,0,2,1,3
338,19,24999.5,10.0,0,1,1,0,1,1,1
339,21,0,2.0,1,0,0,0,2,2,3
340,20,14999.5,5.0,0,1,0,0,1,1,3
341,23,14999.5,3.0,1,1,1,1,2,2,1
342,22,5000.5,3.0,0,1,1,1,1,1,1
343,18,0,5.0,0,1,1,1,1,1,3
344,20,5000.5,2.0,0,1,1,1,2,1,1
345,23,44999.5,0.0,0,0,0,0,1,1,1
346,21,0,0.0,0,0,1,1,2,2,1
347,18,14999.5,5.0,0,1,1,1,1,1,2
348,20,0,15.0,0,1,1,1,2,2,1
349,20,5000.5,4.0,1,1,1,1,1,1,3
350,18,0,3.0,1,1,1,0,1,1,1
351,25,0,0.0,0,0,1,0,1,1,1
352,24,0,0.0,0,0,1,1,1,1,1
353,20,0,1.0,0,1,1,1,2,2,4
354,22,5000.5,5.0,0,1,0,0,1,1,1
355,21,14999.5,3.0,0,0,1,1,1,3,1
356,39,14999.5,5.0,0,1,0,1,1,1,1
357,20,24999.5,1.0,0,1,1,1,1,1,3
358,23,44999.5,5.0,1,0,1,1,2,1,1
359,30,34999.5,0.0,1,1,1,0,1,1,1
360,25,24999.5,7.0,0,1,0,0,1,1,3
361,18,0,2.0,0,1,0,1,1,1,1
362,19,0,4.0,0,1,0,0,1,1,3
363,18,0,20.0,0,1,0,1,1,1,1
364,23,34999.5,7.0,0,1,1,1,1,1,1
365,28,14999.5,4.0,1,1,1,1,1,1,4
366,18,14999.5,6.0,0,1,0,1,1,1,1
367,21,0,0.0,0,1,1,1,1,1,1
368,30,62499.5,2.0,1,1,1,0,2,2,1
369,21,5000.5,2.0,0,1,0,0,1,1,1
370,21,0,3.0,0,1,1,0,1,2,1
371,14,0,1.0,0,1,1,1,1,1,1
372,22,0,1.0,0,1,1,1,1,1,1
373,33,44999.5,1.0,0,0,1,1,1,1,3
374,24,62499.5,13.0,0,1,1,1,1,1,1
375,17,0,5.0,0,1,0,1,1,1,1
376,28,24999.5,0.0,0,1,1,1,1,2,4
377,18,5000.5,0.0,0,1,1,1,1,1,1
378,18,0,1.0,0,1,0,1,1,1,1
379,27,5000.5,2.0,0,1,1,1,1,1,3
380,18,0,7.0,0,1,1,0,1,1,2
381,48,34999.5,0.0,0,0,1,1,1,1,1
382,29,34999.5,40.0,0,1,1,1,1,1,1
383,20,5000.5,2.0,0,1,0,0,1,1,2
384,20,14999.5,0.0,0,1,1,1,1,1,2
385,20,0,0.0,0,1,1,1,1,1,2
386,20,0,0.0,0,1,1,1,1,1,2
387,18,0,30.0,0,1,0,0,1,1,3
388,19,0,1.0,0,1,0,1,1,1,1
389,25,14999.5,8.0,0,0,0,0,2,1,1
390,25,62499.5,12.0,0,0,0,0,1,1,1
391,21,0,0.0,1,1,1,0,1,2,2
392,20,5000.5,6.0,0,1,1,1,1,1,3
393,23,24999.5,15.0,1,0,1,0,2,1,3
394,24,5000.5,1.0,0,1,0,0,1,1,1
395,42,200000,0.0,0,1,0,0,1,1,3
396,32,34999.5,5.0,0,1,0,1,1,1,1
397,21,14999.5,2.0,0,0,1,1,1,1,3
398,21,5000.5,0.0,0,1,1,1,1,1,1
399,21,0,3.0,0,1,1,1,2,2,1
400,16,0,0.0,0,1,1,1,1,1,1
401,38,137499.5,0.0,1,1,1,1,1,1,2
402,20,0,2.0,1,0,0,0,2,3,1
403,24,14999.5,5.0,0,1,0,1,1,1,1
404,22,0,2.0,0,0,0,0,1,1,3
405,18,0,5.0,0,1,1,1,1,1,1
406,18,0,12.0,0,1,1,1,1,1,2
407,23,44999.5,4.0,0,1,0,0,1,1,1
408,23,24999.5,2.0,0,1,1,1,1,1,1
409,21,24999.5,9.0,0,1,1,0,1,1,1
410,24,0,3.0,1,1,1,1,1,2,4
411,22,0,0.0,0,1,1,1,1,1,2
412,17,5000.5,10.0,0,1,1,0,2,1,3
413,34,112499.5,2.0,0,0,1,1,1,2,4
414,26,5000.5,0.0,1,0,1,1,1,2,1
415,27,62499.5,1.0,0,1,1,1,1,1,4
416,19,0,3.0,0,1,1,1,1,1,3
417,15,0,1.0,0,1,1,1,1,1,2
418,31,5000.5,0.0,0,0,1,0,1,1,1
419,17,5000.5,3.0,1,1,1,1,1,1,3
420,22,5000.5,0.0,0,1,1,1,1,1,1
421,21,0,1.0,0,0,0,1,2,1,2
422,19,0,1.0,1,1,1,1,2,2,1
423,26,0,0.0,1,1,1,1,1,2,2
424,24,5000.5,4.0,0,1,1,1,1,1,2
425,18,0,0.0,0,1,0,1,1,1,2
426,25,5000.5,5.0,1,1,1,1,4,1,1
427,23,14999.5,0.0,0,1,1,1,1,1,2
428,25,34999.5,20.0,0,0,0,0,1,1,1
429,33,34999.5,25.0,0,0,0,0,1,2,1
430,21,5000.5,4.0,0,0,1,1,2,1,1
431,30,14999.5,12.0,0,0,1,0,2,1,1
432,22,14999.5,2.0,1,1,1,1,1,1,3
433,24,5000.5,0.0,0,1,1,0,1,1,1
434,18,0,1.0,0,1,0,0,1,1,1
435,37,44999.5,400.0,0,0,0,0,2,2,4
436,26,24999.5,1.0,0,1,1,1,1,1,1
437,21,14999.5,3.0,0,0,1,0,1,1,3
438,26,0,0.0,0,1,1,1,1,1,1
439,20,5000.5,2.0,0,1,1,1,2,1,1
440,23,0,2.0,0,1,0,1,2,1,1
441,26,14999.5,15.0,1,0,0,1,1,2,1
442,16,0,0.0,1,1,1,1,1,1,2
443,24,34999.5,6.0,0,0,0,0,1,1,3
444,22,0,0.0,1,1,1,1,1,1,3
445,20,5000.5,3.0,1,1,1,1,2,2,1
446,25,14999.5,0.0,0,0,0,0,1,1,1
447,23,0,0.0,0,1,1,1,1,1,1
448,25,0,3.0,0,1,1,0,1,1,3
449,27,5000.5,5.0,1,1,1,0,1,1,3
450,23,34999.5,10.0,0,0,0,0,1,1,1
451,25,0,2.0,0,1,0,1,2,1,1
452,22,5000.5,15.0,0,1,0,0,1,1,1
453,23,0,2.0,0,1,0,1,1,1,1
454,21,14999.5,0.0,0,0,0,1,2,1,3
455,31,44999.5,30.0,0,0,1,1,2,1,3
456,18,0,2.0,0,1,1,1,1,1,1
